Date,QQQ,TLT,VGT,XLK
2010-08-13,39.614764022827146,64.5475015258789,45.5453296661377,17.642084922790527
2010-08-16,39.612728118896484,64.64753929138183,45.52521583557129,17.641523513793945
2010-08-17,39.6349479675293,64.73003631591797,45.5350993347168,17.649733047485352
2010-08-18,39.66170928955078,64.82253143310547,45.54827766418457,17.65924674987793
2010-08-19,39.68284927368164,64.93770652770996,45.55677368164063,17.66631290435791
2010-08-20,39.683260955810546,65.07399154663086,45.54134170532227,17.66429428100586
2010-08-23,39.668485717773436,65.19473014831543,45.506489486694335,17.656101951599123
2010-08-24,39.63936805725098,65.34411293029785,45.45984642028809,17.64383892059326
2010-08-25,39.59634162902832,65.49411323547363,45.39135581970215,17.6244474029541
2010-08-26,39.54073524475098,65.65015724182129,45.31263496398926,17.60066493988037
2010-08-27,39.491785202026364,65.7559375,45.24310348510742,17.57965389251709
2010-08-30,39.43410949707031,65.89012817382813,45.160914764404296,17.55410213470459
2010-08-31,39.38079200744629,66.04346351623535,45.080112533569334,17.53001491546631
2010-09-01,39.35649459838867,66.15250129699707,45.03398948669434,17.517645797729493
2010-09-02,39.3442586517334,66.23821083068847,45.000697708129884,17.50901996612549
2010-09-03,39.357358093261716,66.31456344604493,44.99931076049805,17.512763442993165
2010-09-07,39.36487861633301,66.41345932006836,44.988386917114255,17.513902702331542
2010-09-08,39.38481643676758,66.4893180847168,44.98075744628906,17.5163440322876
2010-09-09,39.43833427429199,66.52398391723632,45.011101455688475,17.53278190612793
2010-09-10,39.50636833190918,66.54369186401367,45.05358352661133,17.55459060668945
2010-09-13,39.58786949157715,66.5678581237793,45.119473190307616,17.584048461914062
2010-09-14,39.67496688842773,66.61550048828126,45.19177871704102,17.61545928955078
2010-09-15,39.76503738403321,66.63221618652344,45.26460418701172,17.645893592834472
2010-09-16,39.83464569091797,66.65118865966797,45.311247482299805,17.66770206451416
2010-09-17,39.90289588928223,66.6838395690918,45.35702362060547,17.68937129974365
2010-09-20,39.97852638244629,66.73161560058594,45.41164306640625,17.714640350341796
2010-09-21,40.0517074584961,66.7984814453125,45.45845962524414,17.737628326416015
2010-09-22,40.11246559143066,66.88855606079102,45.48533531188965,17.753774757385255
2010-09-23,40.16885147094727,66.96968887329102,45.504581985473635,17.767315330505372
2010-09-24,40.24189239501953,67.01951416015625,45.54515602111817,17.786903381347656
2010-09-27,40.33223686218262,67.08651168823242,45.612779693603514,17.816908340454102
2010-09-28,40.4155842590332,67.17098175048828,45.67225372314453,17.843985290527343
2010-09-29,40.48808525085449,67.24774871826172,45.725658950805666,17.867966995239257
2010-09-30,40.567573165893556,67.30150619506836,45.78842758178711,17.894710426330565
